simulation,finalist_1,finalist_2,champion
0,France,Portugal,France
1,France,Spain,France
2,Spain,Argentina,Argentina
3,Spain,Argentina,Spain
4,Spain,Argentina,Argentina
5,France,Argentina,Argentina
6,Spain,France,Spain
7,Spain,Argentina,Spain
8,Spain,Croatia,Croatia
9,France,Argentina,France
10,France,Argentina,France
11,Belgium,Argentina,Argentina
12,Spain,Argentina,Spain
13,France,Argentina,France
14,Morocco,England,Morocco
15,France,Argentina,France
16,Spain,Argentina,Argentina
17,France,Argentina,France
18,France,Argentina,France
19,Spain,Argentina,Argentina
20,France,Portugal,France
21,Croatia,Morocco,Croatia
22,Belgium,England,England
23,France,Argentina,France
24,Belgium,Brazil,Belgium
25,France,Argentina,Argentina
26,France,England,France
27,Spain,Argentina,Argentina
28,France,Argentina,Argentina
29,England,Portugal,Portugal
30,France,Brazil,France
31,France,England,France
32,France,England,France
33,Mexico,Argentina,Argentina
34,France,Portugal,Portugal
35,France,Brazil,France
36,France,Portugal,France
37,France,England,England
38,Spain,Argentina,Argentina
39,France,Argentina,Argentina
40,Netherlands,Argentina,Argentina
41,Spain,Argentina,Argentina
42,Spain,Argentina,Spain
43,France,Argentina,France
44,France,England,France
45,France,Argentina,France
46,France,Argentina,France
47,Brazil,Argentina,Argentina
48,France,Brazil,France
49,Spain,Argentina,Argentina
50,Croatia,Portugal,Croatia
51,Morocco,Brazil,Brazil
52,France,Portugal,France
53,Netherlands,Argentina,Netherlands
54,France,Argentina,France
55,Spain,England,England
56,France,Argentina,France
57,France,Spain,France
58,France,England,France
59,Morocco,England,Morocco
60,Spain,Argentina,Argentina
61,Netherlands,Argentina,Argentina
62,France,Argentina,France
63,France,Argentina,France
64,France,Netherlands,France
65,France,Argentina,France
66,France,Argentina,Argentina
67,France,Argentina,Argentina
68,Brazil,England,Brazil
69,Spain,Brazil,Brazil
70,England,Mexico,England
71,Spain,England,Spain
72,France,Morocco,France
73,Argentina,Brazil,Argentina
74,Spain,Argentina,Argentina
75,Croatia,England,Croatia
76,France,Portugal,France
77,Spain,France,Spain
78,Spain,Argentina,Argentina
79,France,England,England
80,France,Argentina,France
81,France,Argentina,Argentina
82,Spain,Mexico,Mexico
83,France,Argentina,Argentina
84,Croatia,Argentina,Croatia
85,France,Argentina,France
86,France,Argentina,France
87,Spain,England,England
88,Belgium,Portugal,Belgium
89,Spain,Portugal,Portugal
90,France,Portugal,France
91,Germany,Argentina,Argentina
92,France,Brazil,France
93,Brazil,Argentina,Argentina
94,France,Mexico,France
95,Belgium,Argentina,Argentina
96,Brazil,Argentina,Argentina
97,France,Argentina,France
98,Spain,England,Spain
99,France,Brazil,Brazil
100,Brazil,Argentina,Brazil
101,France,England,France
102,France,Argentina,Argentina
103,France,Brazil,France
104,Spain,Argentina,Argentina
105,Spain,England,England
106,France,Morocco,Morocco
107,Belgium,England,Belgium
108,France,Argentina,France
109,Spain,Argentina,Spain
110,Spain,Netherlands,Spain
111,France,Argentina,France
112,France,Argentina,France
113,Spain,England,Spain
114,United States,Argentina,Argentina
115,France,Uruguay,France
116,England,Argentina,Argentina
117,Spain,Brazil,Spain
118,France,Argentina,France
119,Spain,England,Spain
120,France,Argentina,Argentina
121,France,Argentina,France
122,Spain,Argentina,Argentina
123,France,Argentina,Argentina
124,Belgium,Argentina,Argentina
125,Argentina,Morocco,Argentina
126,Germany,Argentina,Argentina
127,France,Argentina,France
128,Belgium,Argentina,Argentina
129,Netherlands,Argentina,Netherlands
130,Netherlands,Argentina,Netherlands
131,France,Argentina,Argentina
132,England,Spain,England
133,France,Argentina,France
134,France,Brazil,France
135,Spain,Argentina,Spain
136,France,Argentina,Argentina
137,Spain,Argentina,Spain
138,Brazil,Argentina,Argentina
139,France,Argentina,Argentina
140,Spain,Brazil,Brazil
141,France,Argentina,Argentina
142,France,Argentina,Argentina
143,Spain,Argentina,Spain
144,France,Argentina,Argentina
145,France,Argentina,Argentina
146,Spain,Senegal,Spain
147,Germany,Argentina,Germany
148,France,Argentina,France
149,Spain,England,England
150,France,Argentina,Argentina
151,France,England,France
152,France,Argentina,France
153,France,Portugal,France
154,Germany,Argentina,Argentina
155,Netherlands,Argentina,Argentina
156,Croatia,Argentina,Argentina
157,France,Portugal,France
158,France,Argentina,Argentina
159,Netherlands,Argentina,Argentina
160,Spain,Argentina,Spain
161,Belgium,Portugal,Portugal
162,Belgium,Argentina,Argentina
163,France,Argentina,Argentina
164,Spain,Argentina,Argentina
165,France,Portugal,France
166,Spain,Argentina,Spain
167,Spain,Brazil,Brazil
168,France,England,England
169,Brazil,Croatia,Croatia
170,France,Argentina,Argentina
171,Morocco,Argentina,Argentina
172,France,Argentina,France
173,France,Argentina,France
174,Uruguay,Argentina,Argentina
175,Spain,France,France
176,Brazil,Japan,Brazil
177,France,Argentina,Argentina
178,Belgium,Portugal,Belgium
179,Spain,Brazil,Spain
180,France,Argentina,France
181,Brazil,Switzerland,Brazil
182,Morocco,Argentina,Argentina
183,France,Netherlands,France
184,Japan,Uruguay,Uruguay
185,France,Argentina,France
186,France,Argentina,France
187,Spain,England,England
188,France,Argentina,France
189,France,England,France
190,France,Argentina,Argentina
191,France,Argentina,France
192,Spain,England,Spain
193,France,Argentina,Argentina
194,France,Argentina,Argentina
195,France,Argentina,France
196,Spain,Brazil,Brazil
197,France,England,France
198,Spain,Argentina,Argentina
199,Netherlands,Morocco,Morocco
200,Spain,England,England
201,Spain,Argentina,Argentina
202,France,Argentina,Argentina
203,England,Brazil,England
204,Spain,Argentina,Spain
205,Spain,Argentina,Argentina
206,Spain,Belgium,Spain
207,France,Portugal,Portugal
208,France,Argentina,France
209,France,Argentina,Argentina
210,Netherlands,Argentina,Argentina
211,Germany,England,England
212,Uruguay,England,Uruguay
213,France,Brazil,France
214,France,Argentina,France
215,Germany,Argentina,Argentina
216,Brazil,Argentina,Argentina
217,France,Argentina,Argentina
218,Spain,Uruguay,Spain
219,France,England,France
220,Spain,Argentina,Argentina
221,France,Spain,France
222,France,Mexico,France
223,Spain,Brazil,Spain
224,Belgium,Argentina,Argentina
225,Spain,England,Spain
226,France,Argentina,Argentina
227,France,Brazil,Brazil
228,France,Argentina,France
229,Germany,Argentina,Argentina
230,France,Argentina,France
231,France,Argentina,Argentina
232,France,Argentina,France
233,France,Argentina,Argentina
234,Germany,Argentina,Argentina
235,Spain,Argentina,Argentina
236,Netherlands,Brazil,Brazil
237,France,Uruguay,France
238,Uruguay,England,England
239,France,Argentina,Argentina
240,France,Argentina,France
241,Spain,England,England
242,Belgium,Argentina,Argentina
243,Germany,Argentina,Germany
244,Spain,Argentina,Argentina
245,Croatia,Argentina,Argentina
246,France,Argentina,Argentina
247,France,Argentina,Argentina
248,Belgium,Argentina,Argentina
249,Germany,Argentina,Argentina
250,France,England,France
251,France,Argentina,France
252,Belgium,Portugal,Portugal
253,Belgium,Argentina,Argentina
254,France,Argentina,France
255,France,Colombia,France
256,France,Argentina,Argentina
257,France,Argentina,Argentina
258,France,Spain,France
259,France,Argentina,France
260,Spain,Argentina,Argentina
261,France,Argentina,Argentina
262,Spain,Argentina,Spain
263,France,Argentina,Argentina
264,France,Argentina,France
265,Spain,Argentina,Argentina
266,France,Morocco,France
267,France,England,France
268,France,Argentina,Argentina
269,France,Argentina,France
270,France,Argentina,France
271,Spain,Argentina,Argentina
272,France,Argentina,France
273,France,Argentina,Argentina
274,France,Argentina,France
275,France,Portugal,Portugal
276,France,Argentina,Argentina
277,Brazil,Argentina,Argentina
278,France,Argentina,France
279,France,England,France
280,Spain,Argentina,Argentina
281,Spain,Argentina,Argentina
282,Belgium,Argentina,Argentina
283,Spain,Argentina,Argentina
284,France,Argentina,France
285,France,Portugal,Portugal
286,France,Morocco,France
287,France,Argentina,France
288,France,Argentina,France
289,Morocco,England,Morocco
290,France,Brazil,France
291,Spain,Argentina,Spain
292,Spain,Argentina,Argentina
293,France,England,France
294,France,Argentina,France
295,France,Portugal,France
296,France,Portugal,France
297,France,Croatia,France
298,France,Argentina,France
299,Belgium,Morocco,Morocco
300,Spain,Argentina,Argentina
301,Netherlands,England,Netherlands
302,Spain,Portugal,Spain
303,Morocco,Brazil,Brazil
304,France,Argentina,France
305,Germany,Brazil,Brazil
306,Netherlands,Argentina,Argentina
307,France,Argentina,France
308,France,England,France
309,France,United States,France
310,France,Portugal,France
311,France,Argentina,France
312,Brazil,Argentina,Argentina
313,France,Argentina,France
314,Brazil,Argentina,Argentina
315,France,Brazil,France
316,Spain,Argentina,Argentina
317,France,Argentina,France
318,France,Brazil,France
319,England,Brazil,Brazil
320,France,Argentina,Argentina
321,France,Switzerland,France
322,France,Argentina,Argentina
323,Spain,Argentina,Argentina
324,Uruguay,Argentina,Argentina
325,France,Argentina,Argentina
326,Spain,Morocco,Spain
327,France,Argentina,France
328,France,Argentina,France
329,Germany,Argentina,Argentina
330,Spain,England,England
331,Belgium,Argentina,Argentina
332,France,Argentina,Argentina
333,France,Argentina,Argentina
334,Portugal,Argentina,Argentina
335,Belgium,England,Belgium
336,Spain,Brazil,Spain
337,France,England,France
338,Germany,Argentina,Argentina
339,Spain,Argentina,Spain
340,France,England,France
341,France,Portugal,France
342,Argentina,Brazil,Argentina
343,France,Argentina,France
344,Spain,England,Spain
345,France,Argentina,Argentina
346,England,Portugal,Portugal
347,Netherlands,Argentina,Argentina
348,Belgium,England,England
349,England,Spain,Spain
350,Spain,Argentina,Argentina
351,Spain,Argentina,Argentina
352,Belgium,Argentina,Argentina
353,Spain,Argentina,Spain
354,Spain,Portugal,Portugal
355,France,Netherlands,France
356,Spain,Argentina,Argentina
357,France,Argentina,France
358,France,Argentina,Argentina
359,France,Argentina,Argentina
360,France,Argentina,France
361,France,Argentina,France
362,Spain,England,England
363,France,Argentina,Argentina
364,Spain,Argentina,Argentina
365,France,Portugal,France
366,France,Argentina,France
367,France,Portugal,France
368,Spain,Argentina,Argentina
369,France,Brazil,Brazil
370,Germany,Argentina,Argentina
371,France,Argentina,Argentina
372,France,Argentina,France
373,France,Brazil,France
374,France,England,France
375,Netherlands,Uruguay,Netherlands
376,Brazil,Argentina,Argentina
377,Brazil,Uruguay,Brazil
378,Netherlands,Argentina,Argentina
379,Belgium,Argentina,Argentina
380,France,Argentina,Argentina
381,Belgium,Argentina,Argentina
382,France,England,France
383,Spain,England,Spain
384,Germany,Argentina,Argentina
385,Spain,Portugal,Portugal
386,France,Argentina,France
387,Spain,Argentina,Argentina
388,Germany,Argentina,Argentina
389,France,Spain,France
390,France,Argentina,Argentina
391,France,Croatia,France
392,Spain,Argentina,Spain
393,Spain,Switzerland,Spain
394,Morocco,Brazil,Brazil
395,France,Mexico,France
396,France,Argentina,Argentina
397,Brazil,England,England
398,France,Portugal,France
399,France,Argentina,France
400,France,Argentina,Argentina
401,France,Brazil,France
402,Spain,England,England
403,Croatia,Argentina,Croatia
404,France,Argentina,Argentina
405,Spain,England,England
406,France,Argentina,France
407,Belgium,Argentina,Argentina
408,France,Argentina,France
409,France,England,France
410,France,Portugal,France
411,France,Brazil,France
412,Brazil,England,England
413,Spain,Argentina,Argentina
414,France,Argentina,France
415,Spain,Argentina,Spain
416,France,Argentina,Argentina
417,France,Spain,France
418,England,Argentina,England
419,France,Argentina,Argentina
420,Spain,Argentina,Argentina
421,France,Argentina,Argentina
422,France,Brazil,France
423,France,England,France
424,Brazil,England,Brazil
425,France,Argentina,Argentina
426,France,Argentina,France
427,Spain,Argentina,Argentina
428,Spain,Argentina,Spain
429,France,England,England
430,France,Argentina,Argentina
431,Uruguay,Portugal,Portugal
432,France,England,France
433,France,Argentina,Argentina
434,France,Argentina,France
435,France,Argentina,Argentina
436,Spain,Argentina,Argentina
437,Germany,Argentina,Argentina
438,Belgium,Argentina,Argentina
439,France,Argentina,France
440,Spain,Argentina,Argentina
441,France,England,France
442,France,England,England
443,France,Argentina,Argentina
444,France,England,France
445,Spain,Argentina,Argentina
446,France,Argentina,France
447,Spain,Brazil,Spain
448,France,Argentina,Argentina
449,France,Morocco,France
450,France,Argentina,Argentina
451,Croatia,Brazil,Croatia
452,France,Argentina,France
453,France,Brazil,France
454,France,Argentina,France
455,Brazil,Argentina,Brazil
456,France,Argentina,France
457,France,Argentina,France
458,France,Argentina,Argentina
459,Spain,Argentina,Spain
460,France,Portugal,France
461,France,Morocco,France
462,France,Argentina,Argentina
463,France,England,France
464,France,Croatia,France
465,France,Morocco,France
466,Spain,Argentina,Argentina
467,France,England,France
468,Spain,Brazil,Spain
469,Spain,Argentina,Spain
470,Morocco,Brazil,Morocco
471,Spain,England,England
472,France,Uruguay,France
473,France,Portugal,France
474,Spain,Argentina,Spain
475,France,Brazil,Brazil
476,England,Portugal,England
477,France,Argentina,France
478,France,Argentina,France
479,Germany,Argentina,Argentina
480,France,Argentina,France
481,France,England,France
482,Spain,Argentina,Argentina
483,France,Brazil,Brazil
484,France,Argentina,Argentina
485,Portugal,Brazil,Brazil
486,France,England,France
487,Croatia,Argentina,Argentina
488,Brazil,Argentina,Argentina
489,France,Argentina,France
490,France,Belgium,France
491,France,Argentina,Argentina
492,France,England,France
493,France,Brazil,France
494,England,Argentina,Argentina
495,Argentina,Brazil,Argentina
496,France,Argentina,France
497,France,Morocco,France
498,Spain,Argentina,Argentina
499,Germany,Brazil,Brazil
500,France,Argentina,Argentina
501,France,Argentina,France
502,Belgium,Argentina,Belgium
503,Spain,Argentina,Argentina
504,France,Argentina,Argentina
505,Spain,England,England
506,France,Argentina,Argentina
507,France,Croatia,France
508,Spain,Portugal,Portugal
509,Germany,Brazil,Brazil
510,Germany,Argentina,Argentina
511,France,England,England
512,France,Argentina,France
513,Belgium,England,England
514,France,Argentina,Argentina
515,France,Netherlands,France
516,Spain,Argentina,Argentina
517,Spain,Argentina,Argentina
518,Spain,Portugal,Portugal
519,Belgium,Argentina,Argentina
520,England,Brazil,England
521,France,Argentina,Argentina
522,France,England,France
523,France,Argentina,Argentina
524,Brazil,Argentina,Argentina
525,Croatia,England,Croatia
526,France,England,England
527,France,England,England
528,France,Brazil,Brazil
529,Spain,England,Spain
530,France,Belgium,France
531,France,Argentina,France
532,Germany,Argentina,Argentina
533,Belgium,Argentina,Argentina
534,Morocco,England,Morocco
535,France,Argentina,France
536,Morocco,Brazil,Brazil
537,France,Brazil,France
538,France,Argentina,France
539,France,England,France
540,Spain,Argentina,Argentina
541,France,Germany,France
542,Morocco,Argentina,Morocco
543,France,Argentina,Argentina
544,Spain,Argentina,Argentina
545,France,Brazil,France
546,France,Argentina,France
547,Spain,Brazil,Spain
548,France,Argentina,France
549,Belgium,Argentina,Argentina
550,France,Argentina,Argentina
551,Germany,Argentina,Argentina
552,Belgium,Argentina,Argentina
553,Belgium,France,France
554,United States,Argentina,Argentina
555,France,England,France
556,France,Switzerland,France
557,France,Argentina,France
558,France,Argentina,France
559,Spain,Argentina,Argentina
560,Netherlands,Argentina,Argentina
561,France,Netherlands,France
562,Spain,Argentina,Argentina
563,France,Argentina,Argentina
564,Argentina,Portugal,Argentina
565,France,Argentina,France
566,France,Argentina,Argentina
567,France,Argentina,Argentina
568,Spain,Argentina,Spain
569,France,Argentina,Argentina
570,Spain,Argentina,Spain
571,France,Brazil,France
572,Brazil,Spain,Spain
573,Croatia,Argentina,Argentina
574,France,Argentina,Argentina
575,Belgium,Argentina,Argentina
576,Spain,Portugal,Spain
577,Uruguay,England,England
578,Netherlands,Uruguay,Netherlands
579,France,England,France
580,France,Portugal,France
581,France,England,France
582,France,Argentina,Argentina
583,Netherlands,Argentina,Argentina
584,Morocco,Brazil,Brazil
585,France,Argentina,Argentina
586,Spain,Argentina,Spain
587,Spain,Argentina,Argentina
588,Spain,Uruguay,Spain
589,Spain,Argentina,Argentina
590,France,Brazil,France
591,Spain,Argentina,Spain
592,Spain,Argentina,Argentina
593,France,Argentina,France
594,Belgium,Argentina,Argentina
595,Belgium,Argentina,Argentina
596,France,Argentina,Argentina
597,France,Argentina,France
598,England,Argentina,Argentina
599,England,Canada,England
600,England,Argentina,England
601,France,Argentina,Argentina
602,Spain,Argentina,Spain
603,France,Argentina,France
604,Spain,England,England
605,Belgium,England,England
606,France,Argentina,France
607,Belgium,England,Belgium
608,France,Argentina,France
609,Spain,Argentina,Spain
610,Portugal,Argentina,Portugal
611,France,England,France
612,Croatia,Belgium,Croatia
613,France,Argentina,Argentina
614,France,Argentina,France
615,England,Croatia,England
616,Spain,Argentina,Spain
617,Morocco,Argentina,Argentina
618,Spain,Argentina,Argentina
619,France,Morocco,France
620,Spain,Brazil,Brazil
621,Germany,Argentina,Argentina
622,France,Brazil,France
623,France,Portugal,France
624,France,Croatia,France
625,Brazil,Argentina,Argentina
626,Germany,Portugal,Portugal
627,France,England,France
628,France,Argentina,France
629,Spain,Portugal,Spain
630,France,Portugal,France
631,France,England,France
632,Netherlands,England,Netherlands
633,Spain,England,Spain
634,Spain,Croatia,Spain
635,Spain,Brazil,Brazil
636,France,Argentina,Argentina
637,Spain,Argentina,Argentina
638,France,Argentina,France
639,Spain,Argentina,Argentina
640,Spain,Argentina,Spain
641,France,Argentina,France
642,France,Argentina,Argentina
643,France,England,France
644,Belgium,Spain,Belgium
645,England,Argentina,Argentina
646,France,England,France
647,Argentina,Brazil,Argentina
648,Morocco,Argentina,Argentina
649,France,Brazil,France
650,Spain,Switzerland,Spain
651,Spain,Argentina,Argentina
652,France,Portugal,France
653,Belgium,Argentina,Belgium
654,Spain,Argentina,Argentina
655,Netherlands,England,England
656,France,Argentina,Argentina
657,France,Argentina,Argentina
658,Brazil,Argentina,Brazil
659,Croatia,Argentina,Argentina
660,Brazil,France,France
661,France,Morocco,France
662,France,Argentina,Argentina
663,Spain,Portugal,Spain
664,Spain,Argentina,Spain
665,France,Uruguay,France
666,England,Argentina,Argentina
667,France,England,England
668,France,Argentina,Argentina
669,England,Brazil,Brazil
670,France,Argentina,France
671,France,Morocco,Morocco
672,Spain,Argentina,Spain
673,Spain,England,England
674,Spain,Argentina,Argentina
675,France,Brazil,France
676,Netherlands,Argentina,Argentina
